#    ncycle     time           dt             m1             m2             x              y              z              vx             vy             vz             
                   0        0.000000e+00        4.669545e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -2.603025e-09        0.000000e+00        5.308658e-13       -5.574473e-10        0.000000e+00
                 152        1.002215e+03        4.825233e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -5.664684e-07        0.000000e+00        2.284436e-10       -5.726276e-10        0.000000e+00
                 470        2.001999e+03        3.165794e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -1.158263e-06        0.000000e+00        4.553907e-10       -6.180772e-10        0.000000e+00
                 743        3.001078e+03        4.254990e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -1.811981e-06        0.000000e+00        6.828027e-10       -6.939072e-10        0.000000e+00
                 951        4.003454e+03        5.423575e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -2.559518e-06        0.000000e+00        9.109823e-10       -8.004534e-10        0.000000e+00
                1123        5.001482e+03        6.129867e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -3.423889e-06        0.000000e+00        1.004300e-09       -9.315912e-10        0.000000e+00
                1271        6.003659e+03        7.362724e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -4.426519e-06        0.000000e+00        1.004300e-09       -1.065943e-09        0.000000e+00
                1400        7.004635e+03        8.293449e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -5.562220e-06        0.000000e+00        1.004300e-09       -1.200094e-09        0.000000e+00
                1514        8.000599e+03        9.192301e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -6.825660e-06        0.000000e+00        1.004300e-09       -1.333569e-09        0.000000e+00
                1618        9.008228e+03        1.018904e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -8.239497e-06        0.000000e+00        1.004300e-09       -1.468620e-09        0.000000e+00
                1714        1.000388e+04        1.039864e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -9.769128e-06        0.000000e+00        1.004300e-09       -1.601961e-09        0.000000e+00
                1810        1.100212e+04        1.039789e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.143567e-05        0.000000e+00        1.004300e-09       -1.735620e-09        0.000000e+00
                1906        1.200026e+04        1.039643e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.323546e-05        0.000000e+00        1.004300e-09       -1.869267e-09        0.000000e+00
                2003        1.300867e+04        1.039541e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.518921e-05        0.000000e+00        1.004300e-09       -2.004287e-09        0.000000e+00
                2099        1.400658e+04        1.039431e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.725669e-05        0.000000e+00        1.004300e-09       -2.137904e-09        0.000000e+00
                2195        1.500427e+04        1.039075e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.945697e-05        0.000000e+00        1.004300e-09       -2.271489e-09        0.000000e+00
                2291        1.600163e+04        1.038748e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -2.178974e-05        0.000000e+00        1.004300e-09       -2.405030e-09        0.000000e+00
                2388        1.700909e+04        1.038483e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -2.428135e-05        0.000000e+00        1.004300e-09       -2.539924e-09        0.000000e+00
                2484        1.800585e+04        1.035162e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -2.687704e-05        0.000000e+00        8.107279e-10       -2.662529e-09        0.000000e+00
                2583        1.900495e+04        9.797611e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -2.958510e-05        0.000000e+00        5.836849e-10       -2.755500e-09        0.000000e+00
                2695        2.000566e+04        8.517780e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -3.237323e-05        0.000000e+00        3.564388e-10       -2.818270e-09        0.000000e+00
                2815        2.100171e+04        8.100541e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -3.519793e-05        0.000000e+00        1.300598e-10       -2.850683e-09        0.000000e+00
                2942        2.200725e+04        7.748644e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -3.806713e-05        0.000000e+00       -9.849501e-11       -2.852919e-09        0.000000e+00
