#    ncycle     time           dt             m1             m2             x              y              z              vx             vy             vz             
                   0        0.000000e+00        4.669545e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -2.603025e-09        0.000000e+00        5.308658e-13       -5.574473e-10        0.000000e+00
                 160        1.003623e+03        4.718881e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -5.672153e-07        0.000000e+00        2.287396e-10       -5.726731e-10        0.000000e+00
                 500        2.001668e+03        3.061030e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -1.157998e-06        0.000000e+00        4.552918e-10       -6.180606e-10        0.000000e+00
                 784        3.001205e+03        4.085201e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -1.811961e-06        0.000000e+00        6.827930e-10       -6.939152e-10        0.000000e+00
                1001        4.003215e+03        5.178534e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -2.559143e-06        0.000000e+00        9.108724e-10       -8.004097e-10        0.000000e+00
                1180        5.000667e+03        5.834817e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -3.422886e-06        0.000000e+00        1.005032e-09       -9.315160e-10        0.000000e+00
                1334        6.000936e+03        7.002358e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -4.423367e-06        0.000000e+00        1.005032e-09       -1.065701e-09        0.000000e+00
                1465        7.005073e+03        8.318878e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -5.563127e-06        0.000000e+00        1.005032e-09       -1.200425e-09        0.000000e+00
                1579        8.006211e+03        9.238811e+00        2.635000e+33        2.781000e+30       -3.409000e+11       -6.833884e-06        0.000000e+00        1.005032e-09       -1.334693e-09        0.000000e+00
                1682        9.003351e+03        1.017490e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -8.233398e-06        0.000000e+00        1.005032e-09       -1.468429e-09        0.000000e+00
                1779        1.000925e+04        1.039863e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -9.779341e-06        0.000000e+00        1.005032e-09       -1.603242e-09        0.000000e+00
                1875        1.100749e+04        1.039788e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.144721e-05        0.000000e+00        1.005032e-09       -1.736999e-09        0.000000e+00
                1971        1.200563e+04        1.039642e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.324842e-05        0.000000e+00        1.005032e-09       -1.870743e-09        0.000000e+00
                2067        1.300364e+04        1.039541e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.518286e-05        0.000000e+00        1.005032e-09       -2.004468e-09        0.000000e+00
                2163        1.400155e+04        1.039433e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.725056e-05        0.000000e+00        1.005032e-09       -2.138182e-09        0.000000e+00
                2260        1.500964e+04        1.039074e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -1.947480e-05        0.000000e+00        1.005032e-09       -2.273257e-09        0.000000e+00
                2356        1.600699e+04        1.038747e+01        2.635000e+33        2.781000e+30       -3.409000e+11       -2.180937e-05        0.000000e+00        1.005032e-09       -2.406895e-09        0.000000e+00
